project,Region,country,Status(as of 2025.1Q),Extraction Type,Resource,Total_Cash_Cost,Capacity,Cost_Quartile
Yelonggou,Asia,China,Existing operations,"Open pit, Underground",Pegmatite,11663.577751652792,10.0,Q2
Baishuidong,Asia,China,Existing operations,Open pit,Pegmatite,11663.577751652792,12.0,Q2
Dahongliutan,Asia,China,Existing operations,Open pit,Pegmatite,11663.577751652792,30.0,Q2
Yifeng Shiziling,Asia,China,Existing operations,Open pit,Pegmatite,11663.577751652792,10.0,Q2
Xiangyuan Phase 2,Asia,China,Speculative projects,Open pit,Pegmatite,11705.53773226699,25.0,Q2
Cauchari-Olaroz Phase 2,South America,Argentina,Possible projects,Evaporation,Brine,11749.69557795382,20.0,Q2
Val-d’Or,North America,Canada,Existing operations,Open pit,Pegmatite,11760.67102185065,30.0,Q2
Daqianggou,Asia,China,Speculative projects,Open pit,Pegmatite,11769.152453269211,0.0,Q2
Jiajika X03,Asia,China,Speculative projects,Open pit,Pegmatite,11769.152453269211,0.0,Q2
Shaotangou,Asia,China,Speculative projects,Open pit,Pegmatite,11769.152453269211,0.0,Q2
West Taijnar I Phase 2,Asia,China,Possible projects,Evaporation,Brine,11773.61977488844,25.0,Q2
Barkam,Asia,China,Existing operations,Open pit,Pegmatite,11902.37244589717,0.0,Q2
Gyabjeka Spodumene Deposit,Asia,China,Existing operations,Open pit,Pegmatite,11902.37244589717,0.0,Q2
Salar de Llullaillaco,South America,Argentina,Existing operations,Evaporation,Brine,11962.21257509191,17.42,Q2
Salar del Rincón I Phase 2,South America,Argentina,Possible projects,Evaporation,Brine,11994.09436585657,10.0,Q2
Nemaska,North America,Canada,Possible projects,"Open pit, Underground",Pegmatite,11997.364530166624,31.69,Q2
Perico,South America,Argentina,Speculative projects,Direct Extraction,Brine,12013.194950979729,10.0,Q2
Mt Marion,Oceania,Australia,Existing operations,Open pit,Pegmatite,12022.5,93.5,Q2
Songshugang,Asia,China,Possible projects,Open pit,Pegmatite,12092.81130050282,10.0,Q2
Pilgangoora Phase 3,Oceania,Australia,Speculative projects,Open pit,Pegmatite,12110.0,41.15,Q2
